identifier,description,currency,weight,processingTime,comment,cost_value
Co0007,"Visa Κίνας Regular",EUR,1,PD4,,128.2
Co0008,"Visa Κίνας Express",EUR,1,PD3,,174
Co0009,"Visa Κίνας Urgent",EUR,1,PD1-PD2,,196.4
Co0010,"eVisa Ρωσίας",EUR,1,PD4,,69
Co0011,"Visa Ρωσίας Regular",EUR,1,PD4-PD20,,65
Co0012,"Visa Ρωσίας Express",EUR,1,PD1-PD3,,115
Co0013," Visa Ινδίας μέχρι 1 έτους",EUR,3,,"Όταν μια ινδική βίζα επικολλημένη σε ένα παλιό διαβατήριο μεταφέρεται σε νέο, θα πρέπει να χρεωθεί ένα τέλος υπηρεσιών 5,00 ευρώ",95
Co0014,"Visa Ινδίας πάνω από 1 έτους",EUR,4,,"Όταν μια ινδική βίζα επικολλημένη σε ένα παλιό διαβατήριο μεταφέρεται σε νέο, θα πρέπει να χρεωθεί ένα τέλος υπηρεσιών 5,00 ευρώ",190
Co0015,"eVisa Ινδίας 30 ημερών",USD,2,,,25
Co0016,"eVisa Ινδίας μέχρι 1 έτους",USD,3,,,40
Co0017,"eVisa Ινδίας πάνω από  1 έτος",USD,4,,,80
Co0018,"Transit visa για Ινδία",EUR,1,,"Όταν μια ινδική βίζα επικολλημένη σε ένα παλιό διαβατήριο μεταφέρεται σε νέο, θα πρέπει να χρεωθεί ένα τέλος υπηρεσιών 5,00 ευρώ",19
Co0019,"Visa Αιγύπτου Μονής Εισόδου",EUR,1,,,25
Co0020,"Visa Αιγύπτου Πολλαπλής Εισόδου",EUR,2,,,60
Co0021,"Visa Κούβας με Διαζώσης Αίτηση",EUR,1,,"Όλες οι πληρωμές πρέπει να γίνονται σε μετρητά, μέσω πληρωμής πιστοποιημένης τράπεζας ή τραπεζικής μεταφοράς. Τα μετρητά που αποστέλλονται ταχυδρομικώς θα απορριφθούν και θα επιστραφούν με ευθύνη του αιτούντος.",25
Co0022,"Visa Κούβας με αίτηση ταχυδρομικώς",EUR,1,,,47
Co0023,"Visa Ιορδανίας κατά την άφιξη",EUR,1,,,49.5
Co0024,"Visa Ιορδανίας μέχρι 1 μηνός",EUR,1,,,67.5
Co0025,"Visa Ιορδανίας μέχρι 3 μηνών",EUR,2,,,97.5
Co0026,"Visa Ιορδανίας μέχρι 6 μηνών",EUR,3,,,187.5
Co0027,"Visa Βιετνάμ κατά την άφιξη Μονή Εισόδου",USD,1,,"Στο κόστος δεν συμπεριλαμβάνεται το κόστος έκδοσης της επιστολής έγκρισης.",25
Co0028,"Visa Βιετνάμ κατά την άφιξη Πολλαπλής Εισόδου",USD,2,,"Στο κόστος δεν συμπεριλαμβάνεται το κόστος έκδοσης της επιστολής έγκρισης.",50
Co0029,"eVisa Βιετναμ Μονής Εισόδου",USD,1,,,25
Co0030,"Visa Βιετνάμ  Μονή Εισόδου",EUR,1,,,70
Co0031,"Visa Βιετνάμ Πολλαπλής Εισόδου",EUR,2,,,85
Co0032,"eVisa Κένυα Τουριστική Μονής Εισόδου",USD,2,,,50
Co0033,"eVisa Κένυα Τουριστική Πολλαπλής Εισόδου",USD,3,,,101
Co0034,"eVisa Κένυα transit",USD,1,,,21
Co0035,"Visa Μαδαγασκάρης 30 ημερών",EUR,1,,,35
Co0036,"Visa Μαδαγασκάρης 60 ημερών",EUR,2,,,40
Co0037,"Visa Μαδαγασκάρης 90 ημερών",EUR,3,,,50
Co0038,"Visa Νεπαλ 15 ημερών",EUR,1,,,30
Co0039,"Visa Νεπαλ 30 ημερών",EUR,2,,,50
Co0045,"Visa Νεπαλ 90 ημερών",EUR,3,,,125
Co0040,"Visa Νεπάλ κατά την άφιξη 15 ημερών",USD,1,,"Επέκταση 3 δολάρια ανά ημέρα, 5 δολάρια ανά ημέρα ως πρόστιμο σε περιπτωση καθυστέρησης, 25 δολάρια σε περίπτωση μετατροπής της βίζα σε πολλαπλής εισόδου.",30
Co0041,"Visa Νεπάλ κατά την άφιξη 30 ημερών",USD,2,,"Επέκταση 3 δολάρια ανά ημέρα, 5 δολάρια ανά ημέρα ως πρόστιμο σε περιπτωση καθυστέρησης, 25 δολάρια σε περίπτωση μετατροπής της βίζα σε πολλαπλής εισόδου.",50
Co0042,"Visa Νεπάλ κατά την άφιξη 90 ημερών",USD,3,,"Επέκταση 3 δολάρια ανά ημέρα, 5 δολάρια ανά ημέρα ως πρόστιμο σε περιπτωση καθυστέρησης, 25 δολάρια σε περίπτωση μετατροπής της βίζα σε πολλαπλής εισόδου.",125
Co0043,"Visa Τανζανίας Τουριστική",USD,2,,,50
Co0044,"Visa Τανζανίας Transit",USD,1,,,30
